id	event	ts1	 ts2	from_stream	directly_from_stream	from_search	directly_from_search	from_quote_search	directly_from_quote_search	from_convo_search	directly_from_convo_search	from_timeline_search	directly_from_timeline_search	text	lang	author_id	author_handle	created_at	conversation_id	possibly_sensitive	reply_settings	source	author_follower_count	retweet_count	reply_count	like_count	quote_count	replied_to	replied_to_author_id	replied_to_handle	replied_to_follower_count	quoted	quoted_author_id	quoted_handle	quoted_follower_count	retweeted	retweeted_author_id	retweeted_handle	retweeted_follower_count	mentioned_author_ids	mentioned_handles	hashtags	urls	media_keys	place_id
1358322479136178177	britney_202102	2022-03-01 09:06:52.403595-05:00	2022-03-01 09:06:52.403595-05:00	True	True	False	False	False	False	False	False	False	False	RT @briebxrries: what is joe biden and kamala harris’ plans to finally make justin timberlake pay for his crimes against janet jackson and…	en	54603468	pinktanay	2021-02-07 02:51:30-05:00	1358322479136178177	False	everyone	Twitter for iPhone	302	15698	0	0	0	None	None	None	None	None	None	None	None	1358248863887458304	93259372	briebxrries	1002	None	None	None	None	None	None
1358323016736796677	britney_202102	2022-01-05 08:34:04.477789-05:00	2022-03-01 09:06:52.398778-05:00	True	True	False	False	False	False	False	False	False	False	RT @Variety: Britney Spears Documentary Brings Validity to #FreeBritney Movement, While Putting Misogynistic Media on Blast  https://t.co/2…	en	754687840290680833	Nene_689	2021-02-07 02:53:38-05:00	1358323016736796677	False	everyone	Twitter for iPhone	162	1415	0	0	0	None	None	None	None	None	None	None	None	1358189171500843011	17525171	Variety	2669599	None	None	['FreeBritney']	None	None	None
1358322996696465409	britney_202102	2022-03-01 09:06:52.399008-05:00	2022-03-01 09:06:52.399008-05:00	True	True	False	False	False	False	False	False	False	False	RT @Johnnerkell: Britney Spears documentary is all anyone is talking about the past 24 hours	en	3297058346	OleskiCo	2021-02-07 02:53:33-05:00	1358322996696465409	False	everyone	Twitter for Android	302	461	0	0	0	None	None	None	None	None	None	None	None	1358200732609097734	403576578	Johnnerkell	2650	None	None	None	None	None	None
1358322976769286151	britney_202102	2022-03-01 09:06:52.399205-05:00	2022-03-01 09:06:52.399205-05:00	True	True	False	False	False	False	False	False	False	False	RT @PopCrave: .@NYTimes documentary #FramingBritney suggests Justin Timberlake profited off of Britney Spears and was misogynistic towards…	en	38561622	TeamMBI	2021-02-07 02:53:28-05:00	1358322976769286151	False	everyone	Twitter for Android	441	1568	0	0	0	None	None	None	None	None	None	None	None	1358237823648825348	4429003533	PopCrave	880695	None	None	['FramingBritney']	None	None	None
